Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Dennis Horner,2012,2012,F,6-9,230.0,"February 5, 1988",NC State
Talen Horton-Tucker,2020,2024,G-F,6-4,234.0,"November 25, 2000",Iowa State
Danuel House Jr.,2017,2024,G,6-6,220.0,"June 7, 1993",Texas A&M
Eddie House,2001,2011,G,6-1,180.0,"May 14, 1978",Arizona State
Caleb Houstan,2023,2024,G-F,6-8,205.0,"January 9, 2003",Michigan
Dwight Howard,2005,2022,C,6-10,265.0,"December 8, 1985",
Jett Howard,2024,2024,G,6-8,215.0,"September 14, 2003",Michigan
Josh Howard,2004,2013,F-G,6-7,210.0,"April 28, 1980",Wake Forest
Juwan Howard,1995,2013,F-C,6-9,240.0,"February 7, 1973",Michigan
Markus Howard,2021,2022,G,5-10,175.0,"March 3, 1999",Marquette
William Howard,2020,2020,F,6-8,207.0,"October 25, 1993",
Trevor Hudgins,2023,2023,G,6-0,180.0,"March 23, 1999",Northwest Missouri State University
Lester Hudson,2010,2015,G,6-3,190.0,"August 7, 1984",University of Tennessee at Martin
Marcelo Huertas,2016,2017,G,6-3,200.0,"May 25, 1983",
Kevin Huerter,2019,2024,G,6-7,190.0,"August 27, 1998",Maryland
Josh Huestis,2016,2018,F,6-7,230.0,"December 19, 1991",Stanford
Jay Huff,2022,2024,F-C,7-1,240.0,"August 25, 1998",Virginia
Elijah Hughes,2021,2022,F,6-5,215.0,"March 10, 1998","Syracuse, East Carolina University"
Larry Hughes,1999,2012,G,6-5,184.0,"January 23, 1979",Saint Louis
Robbie Hummel,2014,2015,F,6-8,215.0,"March 8, 1989",Purdue
Isaac Humphries,2019,2019,C,7-0,255.0,"January 5, 1998",Kentucky
Kris Humphries,2005,2017,F-C,6-9,235.0,"February 6, 1985",Minnesota
Feron Hunt,2022,2022,F,6-8,195.0,"July 5, 1999",SMU
De'Andre Hunter,2020,2024,F,6-8,225.0,"December 2, 1997",Virginia
R.J. Hunter,2016,2019,G,6-5,185.0,"October 24, 1993",Georgia State University
Vince Hunter,2018,2018,F,6-8,208.0,"August 5, 1994",Texas-El Paso
Matthew Hurt,2024,2024,F,6-9,235.0,"April 20, 2000",Duke
Chandler Hutchison,2019,2022,G,6-6,210.0,"April 26, 1996",Boise State
Bones Hyland,2022,2024,G,6-2,173.0,"September 14, 2000",VCU
Serge Ibaka,2010,2023,F-C,6-11,235.0,"September 18, 1989",
Andre Iguodala,2005,2023,F-G,6-6,215.0,"January 28, 1984",Arizona
Zydrunas Ilgauskas,1998,2011,C,7-3,238.0,"June 5, 1975",
D.J. Mbenga,2005,2011,C,7-0,245.0,"December 30, 1980",
Ersan İlyasova,2007,2021,F,6-9,235.0,"May 15, 1987",
Joe Ingles,2015,2024,F-G,6-9,220.0,"October 2, 1987",
Damien Inglis,2016,2016,F,6-8,246.0,"May 20, 1995",
Andre Ingram,2018,2019,G,6-3,190.0,"November 19, 1985",American University
Brandon Ingram,2017,2024,F,6-8,190.0,"September 2, 1997",Duke
Kyrie Irving,2012,2024,G,6-2,195.0,"March 23, 1992",Duke
Jonathan Isaac,2018,2024,F,6-10,230.0,"October 3, 1997",Florida State
Jaden Ivey,2023,2024,G,6-4,195.0,"February 13, 2002",Purdue
Royal Ivey,2005,2014,G,6-3,200.0,"December 20, 1981",Texas
Wes Iwundu,2018,2022,F,6-6,195.0,"December 20, 1994",Kansas State
Jarrett Jack,2006,2018,G,6-3,200.0,"October 28, 1983",Georgia Tech
Aaron Jackson,2018,2018,G,6-4,185.0,"May 6, 1986",Duquesne
Andre Jackson Jr.,2024,2024,G,6-6,210.0,"November 13, 2001",UConn
Darnell Jackson,2009,2011,F,6-9,253.0,"November 7, 1985",Kansas
Demetrius Jackson,2017,2019,G,6-1,201.0,"September 7, 1994",Notre Dame
Frank Jackson,2019,2023,G,6-3,205.0,"May 4, 1998",Duke
GG Jackson II,2024,2024,F,6-9,215.0,"December 17, 2004",South Carolina
Isaiah Jackson,2022,2024,C-F,6-10,206.0,"January 10, 2002",Kentucky
Jaren Jackson Jr.,2019,2024,F,6-10,242.0,"September 15, 1999",Michigan State
Josh Jackson,2018,2022,F-G,6-8,207.0,"February 10, 1997",Kansas
Justin Jackson,2018,2024,G-F,6-8,220.0,"March 28, 1995",UNC
Pierre Jackson,2017,2017,G,5-10,180.0,"August 29, 1991",Baylor
Quenton Jackson,2023,2024,G,6-5,175.0,"September 15, 1998",Texas A&M
Reggie Jackson,2012,2024,G,6-2,208.0,"April 16, 1990",Boston College
Stephen Jackson,2001,2014,F-G,6-8,218.0,"April 5, 1978",Butler County Community College
Trayce Jackson-Davis,2024,2024,F,6-9,245.0,"February 22, 2000",Indiana
Bernard James,2013,2015,C,6-10,240.0,"February 7, 1985",Florida State
Damion James,2011,2014,G-F,6-7,225.0,"October 7, 1987",Texas
Justin James,2020,2021,G,6-7,190.0,"January 24, 1997",Wyoming
LeBron James,2004,2024,F-G,6-9,250.0,"December 30, 1984",
Mike James,2002,2014,G,6-2,188.0,"June 23, 1975",Duquesne
Mike James,2018,2021,G,6-1,189.0,"August 18, 1990",Lamar
Antawn Jamison,1999,2014,F,6-9,223.0,"June 12, 1976",UNC
Jaime Jaquez Jr.,2024,2024,G-F,6-6,225.0,"February 18, 2001",UCLA
DeJon Jarreau,2022,2024,G,6-5,185.0,"January 23, 1998","UMass, Houston"
Othyus Jeffers,2010,2014,G,6-5,200.0,"August 5, 1985","University of Illinois at Chicago, Robert Morris University (IL)"
Al Jefferson,2005,2018,C-F,6-10,289.0,"January 4, 1985",
Amile Jefferson,2019,2020,F,6-9,222.0,"May 7, 1993",Duke
Cory Jefferson,2015,2016,F,6-9,218.0,"December 26, 1990",Baylor
Richard Jefferson,2002,2018,F,6-7,233.0,"June 21, 1980",Arizona
DaQuan Jeffries,2020,2024,G-F,6-5,230.0,"August 30, 1997","Oral Roberts, Tulsa"
Jared Jeffries,2003,2013,F,6-11,230.0,"November 25, 1981",Indiana
Trey Jemison,2024,2024,C,6-11,260.0,"November 28, 1999","Clemson, UAB"
Charles Jenkins,2012,2013,G,6-3,220.0,"February 28, 1989",Hofstra
John Jenkins,2013,2019,G,6-4,215.0,"March 6, 1991",Vanderbilt
Brandon Jennings,2010,2018,G,6-1,170.0,"September 23, 1989",
Jonas Jerebko,2010,2019,F,6-10,231.0,"March 2, 1987",
Ty Jerome,2020,2024,G,6-5,195.0,"July 8, 1997",Virginia
Grant Jerrett,2015,2015,F,6-10,235.0,"July 8, 1993",Arizona
Eugene Jeter,2011,2011,G,5-11,175.0,"December 2, 1983",University of Portland
Yi Jianlian,2008,2012,F,7-0,240.0,"October 27, 1987",
Isaiah Joe,2021,2024,G,6-4,165.0,"July 2, 1999",Arkansas
Alize Johnson,2019,2023,F,6-7,212.0,"April 22, 1996",Missouri State
Amir Johnson,2006,2019,F-C,6-9,240.0,"May 1, 1987",
Armon Johnson,2011,2012,G,6-3,195.0,"February 23, 1989",Nevada
B.J. Johnson,2019,2022,G,6-7,200.0,"December 21, 1995","Syracuse, La Salle"
Brice Johnson,2017,2018,F,6-10,230.0,"June 27, 1994",UNC
Cameron Johnson,2020,2024,F,6-8,210.0,"March 3, 1996","Pitt, UNC"
Carldell Johnson,2012,2012,G,5-10,180.0,"January 28, 1983",UAB
Chris Johnson,2011,2013,C,6-11,210.0,"July 15, 1985",LSU
Chris Johnson,2013,2016,F-G,6-6,206.0,"April 29, 1990",Dayton
Dakari Johnson,2018,2018,C,7-0,255.0,"September 22, 1995",Kentucky
David Johnson,2022,2022,G,6-5,210.0,"February 26, 2001",Louisville
Ivan Johnson,2012,2013,F,6-8,230.0,"April 10, 1984","Oregon, Cal State San Bernardino"
JaJuan Johnson,2012,2012,F,6-10,221.0,"February 8, 1989",Purdue
Jalen Johnson,2022,2024,F,6-9,220.0,"December 18, 2001",Duke
James Johnson,2010,2024,F,6-7,240.0,"February 20, 1987",Wake Forest
Joe Johnson,2002,2022,G-F,6-7,240.0,"June 29, 1981",Arkansas
Keldon Johnson,2020,2024,G,6-5,220.0,"October 11, 1999",Kentucky
Keon Johnson,2022,2024,G,6-5,186.0,"March 10, 2002",Tennessee
Keyontae Johnson,2024,2024,F,6-5,230.0,"May 24, 2000","Florida, Kansas State"
Nick Johnson,2015,2015,G,6-3,202.0,"December 22, 1992",Arizona
Omari Johnson,2018,2018,F,6-9,220.0,"November 26, 1989",Oregon State
Orlando Johnson,2013,2016,G,6-5,220.0,"March 11, 1989","Loyola Marymount, UC Santa Barbara"
Stanley Johnson,2016,2023,F,6-6,242.0,"May 29, 1996",Arizona
Trey Johnson,2009,2012,G,6-5,218.0,"August 30, 1984","Alcorn State, Jackson State University"
Tyler Johnson,2015,2022,G,6-3,186.0,"May 7, 1992",Fresno State
Wesley Johnson,2011,2019,F-G,6-7,215.0,"July 11, 1987","Iowa State, Syracuse"
Darius Johnson-Odom,2013,2014,G,6-2,215.0,"September 28, 1989",Marquette
Nikola Jokić,2016,2024,C-F,6-11,284.0,"February 19, 1995",
Carlik Jones,2022,2023,G,6-1,185.0,"December 23, 1997","Radford, Louisville"
Colby Jones,2024,2024,G,6-6,205.0,"May 28, 2002",Xavier
Dahntay Jones,2004,2017,G-F,6-6,225.0,"December 27, 1980","Rutgers University, Duke"
Damian Jones,2017,2024,F-C,6-11,245.0,"June 30, 1995",Vanderbilt
DeQuan Jones,2013,2013,F,6-8,221.0,"June 20, 1990",Miami (FL)
Derrick Jones Jr.,2017,2024,F,6-5,210.0,"February 15, 1997",UNLV
Dominique Jones,2011,2013,G,6-4,215.0,"October 15, 1988",South Florida
Herbert Jones,2022,2024,F,6-8,210.0,"October 6, 1998",Alabama
Jalen Jones,2018,2019,G,6-7,220.0,"May 27, 1993",Texas A&M
James Jones,2004,2017,F-G,6-8,218.0,"October 4, 1980",Miami (FL)
Jemerrio Jones,2019,2022,F,6-5,174.0,"April 9, 1995","Hill College, New Mexico State"
Kai Jones,2022,2023,F-C,6-11,218.0,"January 19, 2001",Texas
Kevin Jones,2013,2013,F,6-8,251.0,"August 25, 1989",West Virginia
Mason Jones,2021,2024,G,6-4,200.0,"July 21, 1998","Connors State College, Arkansas"
Perry Jones,2013,2015,F,6-11,235.0,"September 24, 1991",Baylor
Solomon Jones,2007,2014,F,6-10,230.0,"July 16, 1984",South Florida
Terrence Jones,2013,2019,F,6-9,252.0,"January 9, 1992",Kentucky
Tre Jones,2021,2024,G,6-1,185.0,"January 8, 2000",Duke
Tyus Jones,2016,2024,G,6-1,196.0,"May 10, 1996",Duke
DeAndre Jordan,2009,2024,C,6-11,265.0,"July 21, 1988",Texas A&M
Jerome Jordan,2012,2015,C,7-0,253.0,"September 29, 1986",Tulsa
Cory Joseph,2012,2024,G,6-2,200.0,"August 20, 1991",Texas
Kris Joseph,2013,2013,F,6-7,210.0,"December 17, 1988",Syracuse
Nikola Jović,2023,2024,G-F,6-10,209.0,"June 9, 2003",
Johnny Juzang,2023,2024,G,6-7,215.0,"March 17, 2001","Kentucky, UCLA"
Mfiondu Kabengele,2020,2023,F,6-9,250.0,"August 14, 1997",Florida State
Georgios Kalaitzakis,2022,2022,G-F,6-8,192.0,"January 2, 1999",
Chris Kaman,2004,2016,C,7-0,265.0,"April 28, 1982",Central Michigan University
Frank Kaminsky,2016,2023,F-C,7-0,240.0,"April 4, 1993",Wisconsin
Jason Kapono,2004,2012,F,6-8,213.0,"February 4, 1981",UCLA
Sergey Karasev,2014,2016,G-F,6-7,208.0,"October 26, 1993",
Sasha Kaun,2016,2016,C,6-11,260.0,"May 8, 1985",Kansas
Trevor Keels,2023,2023,G,6-5,221.0,"August 26, 2003",Duke
Ryan Kelly,2014,2017,F,6-11,230.0,"April 9, 1991",Duke
Luke Kennard,2018,2024,G,6-5,206.0,"June 24, 1996",Duke
D.J. Kennedy,2012,2012,F,6-6,215.0,"November 5, 1989",St. John's
Walker Kessler,2023,2024,C,7-0,245.0,"July 26, 2001","UNC, Auburn"
Braxton Key,2022,2024,F,6-8,230.0,"February 14, 1997","Alabama, Virginia"
Jason Kidd*,1995,2013,G,6-4,205.0,"March 23, 1973",California
Stanton Kidd,2020,2020,F,6-6,215.0,"March 18, 1992","South Plains College, NC Central, Colorado State"
Michael Kidd-Gilchrist,2013,2020,F,6-6,232.0,"September 26, 1993",Kentucky
Sean Kilpatrick,2015,2018,G,6-4,210.0,"January 6, 1990",Cincinnati
George King,2019,2022,G-F,6-6,225.0,"January 15, 1994",Colorado
Louis King,2020,2023,F,6-7,205.0,"April 6, 1999",Oregon
Andrei Kirilenko,2002,2015,F,6-9,220.0,"February 18, 1981",
Alex Kirk,2015,2015,C,7-0,245.0,"November 14, 1991",New Mexico
Corey Kispert,2022,2024,G-F,6-7,220.0,"March 3, 1999",Gonzaga
Maxi Kleber,2018,2024,F,6-10,240.0,"January 29, 1992",
Linas Kleiza,2006,2013,F,6-8,245.0,"January 3, 1985",Missouri
Brandon Knight,2012,2022,G,6-2,182.0,"December 2, 1991",Kentucky
Nathan Knight,2021,2023,F-C,6-8,253.0,"September 20, 1997",William & Mary
Kevin Knox,2019,2024,F,6-7,215.0,"August 11, 1999",Kentucky
Christian Koloko,2023,2023,C,7-1,230.0,"June 20, 2000",Arizona
John Konchar,2020,2024,G,6-5,210.0,"March 22, 1996",Purdue-Fort Wayne
Furkan Korkmaz,2018,2024,G,6-7,202.0,"July 24, 1997",
Luke Kornet,2018,2024,C-F,7-2,250.0,"July 15, 1995",Vanderbilt
Kyle Korver,2004,2020,G-F,6-7,212.0,"March 17, 1981",Creighton
Kosta Koufos,2009,2019,C,7-0,245.0,"February 24, 1989",Ohio State
Viacheslav Kravtsov,2013,2014,C,7-0,260.0,"August 25, 1987",
Vit Krejci,2022,2024,G,6-8,195.0,"June 19, 2000",
Nenad Krstić,2005,2011,C,7-0,240.0,"July 25, 1983",
Arnoldas Kulboka,2022,2022,F,6-9,198.0,"January 4, 1998",
Jonathan Kuminga,2022,2024,F,6-8,210.0,"October 6, 2002",
Rodions Kurucs,2019,2021,F,6-9,228.0,"February 5, 1998",
Kyle Kuzma,2018,2024,F,6-9,221.0,"July 24, 1995",Utah
Ognjen Kuzmić,2014,2015,C,7-1,251.0,"May 16, 1990",
Mindaugas Kuzminskas,2017,2018,F,6-9,215.0,"October 19, 1989",
Jake LaRavia,2023,2024,F,6-8,235.0,"November 3, 2001","Indiana State University, Wake Forest"
Zach LaVine,2015,2024,G-F,6-5,200.0,"March 10, 1995",UCLA
Skal Labissière,2017,2020,F,6-10,235.0,"March 18, 1996",Kentucky
Anthony Lamb,2021,2023,F,6-6,227.0,"January 20, 1998",University of Vermont
Doron Lamb,2013,2014,G,6-4,210.0,"November 6, 1991",Kentucky
Jeremy Lamb,2013,2022,G-F,6-5,180.0,"May 30, 1992",UConn
Jock Landale,2022,2024,C,6-11,256.0,"October 25, 1995",Saint Mary's
Carl Landry,2008,2016,F,6-9,248.0,"September 19, 1983","Vincennes University, Purdue"
Romeo Langford,2020,2023,G,6-5,216.0,"October 25, 1999",Indiana
Nicolás Laprovíttola,2017,2017,G,6-4,180.0,"January 31, 1990",
Shane Larkin,2014,2018,G,5-11,175.0,"October 2, 1992",Miami (FL)
Joffrey Lauvergne,2015,2018,C-F,6-11,220.0,"September 30, 1991",
Acie Law,2008,2011,G,6-3,195.0,"January 25, 1985",Texas A&M
Vic Law,2020,2020,F,6-7,200.0,"December 19, 1995",Northwestern
Gani Lawal,2011,2011,F,6-9,234.0,"November 7, 1988",Georgia Tech
A.J. Lawson,2023,2024,G,6-6,179.0,"July 15, 2000",South Carolina
Ty Lawson,2010,2017,G,5-11,195.0,"November 3, 1987",UNC
Jake Layman,2017,2022,F,6-8,209.0,"March 7, 1994",Maryland
Caris LeVert,2017,2024,G-F,6-6,205.0,"August 25, 1994",Michigan
T.J. Leaf,2018,2021,F,6-10,222.0,"April 30, 1997",UCLA
Jalen Lecque,2020,2021,G,6-4,185.0,"June 13, 2000",
Ricky Ledo,2014,2015,G,6-7,195.0,"September 10, 1992",
Courtney Lee,2009,2020,G,6-5,215.0,"October 3, 1985",Western Kentucky
Damion Lee,2018,2023,G,6-5,210.0,"October 21, 1992","Drexel, Louisville"
David Lee,2006,2017,F-C,6-9,245.0,"April 29, 1983",Florida
Malcolm Lee,2012,2015,G,6-5,200.0,"May 22, 1990",UCLA
Saben Lee,2021,2024,G,6-2,183.0,"June 23, 1999",Vanderbilt
Walt Lemon Jr.,2018,2019,G,6-3,180.0,"July 26, 1992",Bradley
Alex Len,2014,2024,C,7-0,250.0,"June 16, 1993",Maryland
Kawhi Leonard,2012,2024,F,6-7,225.0,"June 29, 1991",San Diego State
Meyers Leonard,2013,2023,C-F,7-0,260.0,"February 27, 1992",Illinois
Travis Leslie,2012,2012,G,6-4,205.0,"March 29, 1990",Georgia
Jon Leuer,2012,2019,F,6-10,228.0,"May 14, 1989",Wisconsin
Kira Lewis Jr.,2021,2024,G,6-1,170.0,"April 6, 2001",Alabama
Maxwell Lewis,2024,2024,F,6-7,195.0,"July 27, 2002",Pepperdine
Rashard Lewis,1999,2014,F,6-10,215.0,"August 8, 1979",
Scottie Lewis,2022,2022,G,6-5,189.0,"March 12, 2000",Florida
E.J. Liddell,2024,2024,F,6-7,240.0,"December 18, 2000",Ohio State
DeAndre Liggins,2012,2018,G,6-6,209.0,"March 31, 1988",Kentucky
Damian Lillard,2013,2024,G,6-2,195.0,"July 15, 1990",Weber State
Jeremy Lin,2011,2019,G,6-3,200.0,"August 23, 1988",Harvard University
Nassir Little,2020,2024,F,6-5,220.0,"February 11, 2000",UNC
Dereck Lively II,2024,2024,C,7-1,230.0,"February 12, 2004",Duke
Isaiah Livers,2022,2024,F,6-7,230.0,"July 28, 1998",Michigan
Chris Livingston,2024,2024,F,6-6,220.0,"October 15, 2003",Kentucky
Shaun Livingston,2005,2019,G,6-7,192.0,"September 11, 1985",
Kenneth Lofton Jr.,2023,2024,F,6-7,275.0,"August 14, 2002",Louisiana Tech
Zach Lofton,2019,2019,G,6-4,180.0,"November 18, 1992","Illinois State, Texas Southern, New Mexico State"
Shawn Long,2017,2017,C-F,6-9,255.0,"January 29, 1993",Louisiana
Kevon Looney,2016,2024,F-C,6-9,222.0,"February 6, 1996",UCLA
Brook Lopez,2009,2024,C,7-1,282.0,"April 1, 1988",Stanford
Robin Lopez,2009,2024,C,7-1,281.0,"April 1, 1988",Stanford
Didi Louzada,2021,2022,G,6-5,188.0,"February 7, 1999",
Kevin Love,2009,2024,F-C,6-8,251.0,"September 7, 1988",UCLA
Kyle Lowry,2007,2024,G,6-0,196.0,"March 25, 1986",Villanova
Jordan Loyd,2019,2019,G,6-4,210.0,"July 27, 1993","Furman University, University of Indianapolis"
Kalin Lucas,2015,2019,G,6-1,195.0,"May 24, 1989",Michigan State
John Lucas III,2006,2017,G,5-11,166.0,"November 21, 1982","Baylor, Oklahoma State"
Gabriel Lundberg,2022,2022,G,6-4,203.0,"December 4, 1994",
Seth Lundy,2024,2024,G-F,6-6,220.0,"April 2, 2000",Penn State
Timothé Luwawu-Cabarrot,2017,2022,F,6-7,220.0,"May 9, 1995",
Tyler Lydon,2018,2019,F,6-10,225.0,"April 9, 1996",Syracuse
Trey Lyles,2016,2024,F,6-9,234.0,"November 5, 1995",Kentucky
Sheldon Mac,2017,2017,G,6-5,200.0,"December 21, 1992","Texas, Miami (FL)"
Scott Machado,2013,2019,G,6-1,205.0,"June 8, 1990",Iona College
Shelvin Mack,2012,2019,G,6-3,203.0,"April 22, 1990",Butler
Vernon Macklin,2012,2012,F,6-10,227.0,"September 20, 1986","Georgetown, Florida"
Daryl Macon,2019,2020,G,6-2,185.0,"November 29, 1995",Arkansas
J.P. Macura,2019,2020,G,6-5,203.0,"June 5, 1995",Xavier
Josh Magette,2018,2020,G,6-1,160.0,"November 28, 1989",Alabama-Huntsville
Corey Maggette,2000,2013,F,6-6,218.0,"November 12, 1979",Duke
Jamaal Magloire,2001,2012,C,6-11,259.0,"May 21, 1978",Kentucky
Will Magnay,2021,2021,C,6-10,234.0,"June 10, 1998",Tulsa
Ian Mahinmi,2008,2020,C,6-11,262.0,"November 5, 1986",
Thon Maker,2017,2021,F-C,7-0,221.0,"February 25, 1997",
Théo Maledon,2021,2024,G,6-4,175.0,"June 12, 2001",
Sandro Mamukelashvili,2022,2024,C-F,6-11,240.0,"May 23, 1999",Seton Hall
Karim Mané,2021,2021,G,6-3,190.0,"May 16, 2000",Vanier College
Terance Mann,2020,2024,G-F,6-5,215.0,"October 18, 1996",Florida State
Tre Mann,2022,2024,G,6-3,178.0,"February 3, 2001",Florida
Nico Mannion,2021,2021,G,6-2,190.0,"March 14, 2001",Arizona
Devyn Marble,2015,2016,G-F,6-6,200.0,"September 21, 1992",Iowa
Shawn Marion,2000,2015,F,6-7,220.0,"May 7, 1978","Vincennes University, UNLV"
Boban Marjanović,2016,2024,C,7-4,290.0,"August 15, 1988",
Lauri Markkanen,2018,2024,F-C,7-0,240.0,"May 22, 1997",Arizona
Sean Marks,1999,2011,F-C,6-10,250.0,"August 23, 1975",California
Kendall Marshall,2013,2016,G,6-4,200.0,"August 19, 1991",UNC
Naji Marshall,2021,2024,F,6-7,220.0,"January 24, 1998",Xavier
Caleb Martin,2020,2024,F,6-5,205.0,"September 28, 1995","NC State, Nevada"
Cartier Martin,2009,2015,F,6-7,220.0,"November 20, 1984",Kansas State
Cody Martin,2020,2024,G-F,6-5,205.0,"September 28, 1995","NC State, Nevada"
Jarell Martin,2016,2019,F,6-10,239.0,"May 24, 1994",LSU
Jeremiah Martin,2020,2021,G,6-3,185.0,"June 19, 1996",Memphis
Kelan Martin,2020,2022,F,6-5,230.0,"August 3, 1995",Butler
Kenyon Martin,2001,2015,F,6-9,234.0,"December 30, 1977",Cincinnati
Kevin Martin,2005,2016,G,6-7,199.0,"February 1, 1983",Western Carolina University
KJ Martin,2021,2024,F,6-6,215.0,"January 6, 2001",
Tyrese Martin,2023,2023,G,6-6,215.0,"March 7, 1999","Rhode Island, UConn"
Frank Mason III,2018,2021,G,5-11,190.0,"April 3, 1994",Kansas
Roger Mason,2003,2014,G,6-5,200.0,"September 10, 1980",Virginia
Yante Maten,2019,2019,F,6-8,240.0,"August 14, 1996",Georgia
Garrison Mathews,2020,2024,G,6-5,215.0,"October 24, 1996",Lipscomb
Mangok Mathiang,2018,2018,C-F,6-10,230.0,"October 8, 1992",Louisville
Dakota Mathias,2021,2022,G,6-4,200.0,"July 11, 1995",Purdue
Bennedict Mathurin,2023,2024,G-F,6-6,210.0,"June 19, 2002",Arizona
Wesley Matthews,2010,2024,G,6-5,220.0,"October 14, 1986",Marquette
Tyrese Maxey,2021,2024,G,6-2,200.0,"November 4, 2000",Kentucky
Jason Maxiell,2006,2015,F-C,6-7,260.0,"February 18, 1983",Cincinnati
Eric Maynor,2010,2014,G,6-3,175.0,"June 11, 1987",VCU
O.J. Mayo,2009,2016,G,6-5,210.0,"November 5, 1987",USC
Skylar Mays,2021,2024,G,6-4,205.0,"September 5, 1997",LSU
Luc Mbah a Moute,2009,2020,F,6-8,230.0,"September 9, 1986",UCLA
James Michael McAdoo,2015,2018,F,6-9,230.0,"January 4, 1993",UNC
Miles McBride,2022,2024,G,6-2,200.0,"September 8, 2000",West Virginia
Tahjere McCall,2019,2019,G,6-5,195.0,"August 17, 1994",Tennessee State
Ray McCallum,2014,2016,G,6-3,190.0,"June 12, 1991",Detroit Mercy
Patrick McCaw,2017,2021,G,6-7,181.0,"October 25, 1995",UNLV
Mac McClung,2022,2023,G,6-2,185.0,"January 6, 1999","Georgetown, Texas Tech"
CJ McCollum,2014,2024,G,6-3,190.0,"September 19, 1991",Lehigh
T.J. McConnell,2016,2024,G,6-1,190.0,"March 25, 1992","Duquesne, Arizona"
Erik McCree,2018,2018,F,6-7,219.0,"December 20, 1993",Louisiana Tech
Chris McCullough,2016,2018,F,6-11,200.0,"February 5, 1995",Syracuse
Jaden McDaniels,2021,2024,F,6-9,185.0,"September 29, 2000",Washington
Jalen McDaniels,2020,2024,F,6-9,205.0,"January 31, 1998",San Diego State
K.J. McDaniels,2015,2017,G-F,6-6,205.0,"February 9, 1993",Clemson
Doug McDermott,2015,2024,F,6-6,225.0,"January 3, 1992",Creighton
Sean McDermott,2021,2021,F,6-6,195.0,"November 3, 1996",Butler
Antonio McDyess,1996,2011,F-C,6-9,220.0,"September 7, 1974",Alabama
Mitch McGary,2015,2016,F-C,6-10,255.0,"June 6, 1992",Michigan
JaVale McGee,2009,2024,C,7-0,270.0,"January 19, 1988",Nevada
Bryce McGowens,2023,2024,G-F,6-7,179.0,"November 8, 2002",Nebraska
Tracy McGrady*,1998,2012,G-F,6-8,210.0,"May 24, 1979",
Cameron McGriff,2022,2022,F,6-7,230.0,"September 30, 1997",Oklahoma State
Rodney McGruder,2017,2023,G,6-4,205.0,"July 29, 1991",Kansas State
Dominic McGuire,2008,2013,F,6-9,220.0,"October 20, 1985","California, Fresno State"
Trey McKinney-Jones,2018,2018,G,6-5,214.0,"August 27, 1990","Missouri-Kansas City, Miami (FL)"
Alfonzo McKinnie,2018,2022,F,6-7,215.0,"September 17, 1992",Green Bay
JaQuori McLaughlin,2022,2022,G,6-4,190.0,"January 29, 1998","Oregon State, UC Santa Barbara"
Jordan McLaughlin,2020,2024,G,6-0,185.0,"April 9, 1996",USC
Ben McLemore,2014,2022,G,6-3,195.0,"February 11, 1993",Kansas
Jerel McNeal,2015,2015,G,6-3,200.0,"June 1, 1987",Marquette
Jordan McRae,2016,2020,G,6-5,179.0,"March 28, 1991",Tennessee
Josh McRoberts,2008,2018,F-C,6-10,240.0,"February 28, 1987",Duke
Jodie Meeks,2010,2019,G,6-4,210.0,"August 21, 1987",Kentucky
Salah Mejri,2016,2019,C,7-2,235.0,"June 15, 1986",
Gal Mekel,2014,2015,G,6-3,191.0,"March 4, 1988",Wichita State
Nicolò Melli,2020,2021,F,6-9,236.0,"January 26, 1991",
Fab Melo,2013,2013,C,7-0,255.0,"June 20, 1990",Syracuse
De'Anthony Melton,2019,2024,G,6-2,200.0,"May 28, 1998",USC
Nathan Mensah,2024,2024,F,6-8,230.0,"April 9, 1998",San Diego State
Pops Mensah-Bonsu,2007,2011,F,6-9,240.0,"September 7, 1983",George Washington
Sam Merrill,2021,2024,G,6-4,205.0,"May 15, 1996",Utah State University
Chimezie Metu,2019,2024,F-C,6-9,225.0,"March 22, 1997",USC
Vasilije Micić,2024,2024,G,6-5,200.0,"January 13, 1994",
Jordan Mickey,2016,2018,F,6-8,235.0,"July 9, 1994",LSU
Khris Middleton,2013,2024,F-G,6-7,222.0,"August 12, 1991",Texas A&M
Eric Mika,2020,2020,C,6-10,230.0,"January 5, 1995",BYU
C.J. Miles,2006,2022,G-F,6-6,220.0,"March 18, 1987",
Darko Miličić,2004,2013,F-C,7-0,250.0,"June 20, 1985",
Andre Miller,2000,2016,G,6-3,200.0,"March 19, 1976",Utah
Brad Miller,1999,2012,C-F,6-11,244.0,"April 12, 1976",Purdue
Brandon Miller,2024,2024,F-G,6-9,201.0,"November 22, 2002",Alabama
Darius Miller,2013,2021,F,6-6,225.0,"March 21, 1990",Kentucky
Jordan Miller,2024,2024,G,6-7,195.0,"January 23, 2000","George Mason, Miami (FL)"
Leonard Miller,2024,2024,F,6-10,210.0,"November 26, 2003",
Malcolm Miller,2018,2020,F,6-7,210.0,"March 6, 1993",Holy Cross
Mike Miller,2001,2017,F-G,6-8,218.0,"February 19, 1980",Florida
Quincy Miller,2013,2015,F,6-9,210.0,"November 18, 1992",Baylor
Dariq Whitehead,2024,2024,F,6-7,220.0,"August 1, 2004",Duke
Patty Mills,2010,2024,G,6-2,180.0,"August 11, 1988",Saint Mary's
